win_probability,pot_odds,street,stack_to_pot,opponent_bet_ratio,players_left,action,won_hand
0.94,0.0,2,13.857142857142858,0.0,2,raise,False
0.94,0.46634615384615385,2,1.7477477477477477,0.8738738738738738,2,raise,True
0.92,0.24129353233830847,2,0.3180327868852459,0.3180327868852459,2,raise,False
0.86,0.0,3,0.0,0.0,2,raise,False
0.96,0.0,3,0.0,0.0,2,raise,True
0.56,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.46,0.16666666666666666,0,39.8,0.2,3,call,False
0.3,0.0,0,33.0,0.0,3,call,False
0.24,0.0,1,33.0,0.0,3,call,False
0.36,0.0,1,33.0,0.0,3,call,False
0.86,0.0,1,33.0,0.0,3,raise,True
0.3,0.25,1,22.0,0.3333333333333333,3,call,False
0.3,0.2,1,16.5,0.25,3,call,False
0.12,0.0,2,13.0,0.0,3,call,False
0.3,0.0,2,13.0,0.0,3,call,False
0.64,0.0,2,13.0,0.0,3,raise,True
0.22,0.2483221476510067,2,8.705357142857142,0.33035714285714285,3,fold,False
0.4,0.2483221476510067,2,8.705357142857142,0.33035714285714285,2,call,False
0.48,0.0,3,6.295302013422819,0.0,2,call,False
0.76,0.0,3,6.295302013422819,0.0,2,raise,True
0.4,0.43146274149034036,3,1.5177993527508091,0.7588996763754046,2,fold,False
0.42,0.4,0,66.66666666666667,0.6666666666666666,3,call,False
0.4,0.16666666666666666,0,39.8,0.2,3,call,False
0.42,0.0,0,33.0,0.0,3,call,True
0.36,0.0,1,33.0,0.0,3,call,False
0.88,0.0,1,33.0,0.0,3,raise,True
0.32,0.4852941176470588,1,1.8857142857142857,0.9428571428571428,3,fold,False
0.6,0.4852941176470588,1,1.8857142857142857,0.9428571428571428,2,call,False
0.52,0.0,2,0.4852941176470588,0.0,2,call,False
0.96,0.0,2,0.4852941176470588,0.0,2,raise,True
0.5,0.16314398943196828,2,0.39068666140489344,0.19494869771112866,2,call,False
0.22,0.0,3,0.16380449141347425,0.0,2,call,False
0.96,0.0,3,0.16380449141347425,0.0,2,raise,True
0.28,0.07037457434733257,3,0.1514041514041514,0.0757020757020757,2,call,False
0.28,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.46,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.6,0.0,0,49.5,0.0,2,call,False
0.34,0.0,1,49.5,0.0,2,call,True
0.62,0.0,1,49.5,0.0,2,raise,False
0.36,0.3333333333333333,1,24.75,0.5,2,call,True
0.32,0.0,2,16.166666666666668,0.0,2,call,True
0.42,0.0,2,16.166666666666668,0.0,2,call,False
